,gene_3,gene_4,gene_6,gene_19,gene_22,gene_27,gene_29,gene_32,gene_34,gene_35,gene_38,gene_40,gene_45,gene_46,gene_47,gene_48,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_60,gene_64,gene_65,gene_66,gene_68,gene_70,gene_73,gene_75,gene_78,gene_79,gene_80,gene_81,gene_86,gene_88,gene_89,gene_90,gene_95,gene_96,gene_98,gene_99,gene_100,gene_101,gene_102,gene_103,gene_104,gene_105,gene_109,gene_110,gene_112,gene_113,gene_114,gene_115,gene_116,gene_118,gene_119,gene_120,gene_121,gene_122,gene_123,gene_124,gene_125,gene_126,gene_127,gene_128,gene_129,gene_130,gene_131,gene_132,gene_136,gene_137,gene_138,gene_139,gene_140,gene_141,gene_142,gene_143,gene_144,gene_145,gene_146,gene_147,gene_149,gene_150,gene_151,gene_152,gene_154,gene_155,gene_156,gene_157,gene_159,gene_160,gene_161,gene_162,gene_165,gene_170,gene_171,gene_175
sample_0,0.09163667153103948,0.6836501145337261,0.4780044852737677,0.026015082786756568,0.626697985952599,0.8690509982769992,0.6705357865124013,0.5496541251688114,0.5428618769413065,0.7676815796650825,0.7197873960055534,0.4978406961229891,0.5531036098225309,0.7653982114817419,0.4780634600872922,0.8948351317024144,0.7660683450390364,0.7114709866813222,0.1873128262817374,0.31150916976340803,0.64842528385332,0.5122369974221577,0.5019882420392092,0.711826290093211,0.7360633609150259,0.3135189532613891,0.6929207879813065,0.617508959806712,0.6703183119078808,0.5717217225796254,0.4618971194276864,0.4967629395778645,0.7491633727001151,0.3534580303954851,0.7870308496741452,0.4508702008480589,0.3801084440954796,0.40510171857398986,0.8085526948972735,0.3891630011099381,0.4705598697671307,0.35441262962361786,0.21824149235045365,0.6850036472259708,0.06348970567583967,0.6682793279048389,0.3864412873632794,0.914064319478278,0.6275329149961432,0.7734036970626477,0.7360878988033162,0.7642950913326279,0.5538247561810028,0.3871922326092154,0.6682153684375955,0.8028220275578042,0.2812117504866608,0.4946364755215149,0.30611505342370426,0.4748429627348727,0.3838798942154744,0.4311447923030289,0.8026495743396064,0.2353961634299093,0.4607658516451994,0.3994890544114724,0.7198121034918464,0.4120525258113448,0.1904679574033417,0.4266259005150909,0.536968801946178,0.4694611630165408,0.6130814357831522,0.5091634432909755,0.7866290167037768,0.5684257329830834,0.9266256127127812,0.33949509011526824,0.5900470815667052,0.603951820669244,0.7463647105618091,0.3424384304378292,0.6639677784990063,0.8005327897434931,0.4529564918784332,0.6203199738820973,0.8387378408883734,0.770034766974653,0.4709198049740324,0.2934423803156718,0.6608631800168832,0.478016252523346,0.40216379974989147,0.766869774964168,0.34551144037503634,0.5706314093455043,0.7609152223216565,0.6934767432680323,0.7262728978446746,0.4494531247861401
sample_1,0.5032714535938887,0.4065634770480768,0.4250941352461768,0.7996675467653639,0.6573716738691933,0.4349889979444492,0.249798143359768,0.246504212904726,0.4892600025066645,0.3319818884443113,0.6380240868578646,0.3250662561004465,0.525729088153151,0.5334232452661791,0.31451700732119736,0.7369252537098889,0.5146879608373494,0.7002444352032517,0.6014516333263515,0.4418629015560069,0.6297399106375468,0.6149539079414506,0.4222491454633382,0.33906611653179786,0.6676035381941963,0.5624925525500692,0.5322295552372963,0.5725288377304882,0.38702817277873097,0.6850230453076298,0.4698153689410805,0.4178902694437756,0.6126809816172137,0.5290004071176395,0.6957255972142404,0.7522584329020968,0.5687411743908031,0.7896051630434884,0.5154778784929681,0.4022065451463581,0.5350499273849463,0.3338735553429253,0.09364531450068436,0.5844785026721049,0.5930478217528989,0.7358474940301171,0.9403441032098252,0.7661898227189952,0.5360587611697746,0.7326073959846591,0.4752841055086234,0.6818105400650951,0.17931020288363794,0.2607746837700045,0.370159490857864,0.5239567154856619,0.5170928261208668,0.4520873369690901,0.4644521209095478,0.6829118998920742,0.4589874692044758,0.3705866801180857,0.622307617080098,0.4876565914305076,0.37132448703869,0.4698008466721312,0.7175311152483389,0.5206524773904357,0.6404175360019255,0.6754369533143963,0.1705639958793494,0.5275154907068347,0.8853683888421975,0.5737913510758736,0.4747949022700475,0.5626529205982672,0.4855756179341662,0.3089513766961367,0.5239537818334183,0.2785840591659655,0.6466172998852775,0.2222409330237728,0.4730975596924156,0.7557385748465808,0.4276224892402005,0.1997105399013505,0.5852465600771986,0.4847775147305327,0.7182612768121285,0.5986630406646551,0.5309616697515369,0.3893732940097159,0.6205166236549955,0.6600509063609441,0.4829014046265578,0.3556046384707128,0.5554387033306694,0.5388075893957264,0.7343243134795803,0.4097673144496147
sample_2,0.3657057676588005,0.4914097884006718,0.4480896062691993,0.3947137486403881,0.5344506675281862,0.6859046934082813,0.08398603444189097,0.5706521550690999,0.16937547979949907,0.3713449046541043,0.6688112238890538,0.374662927350464,0.6183375447108378,0.5622224147294961,0.3950041613191908,0.8266558478674328,0.5053717689506579,0.5706428328559925,0.411909639169916,0.5759884560607527,0.884637897033949,0.4548106085547763,0.4159536446964131,0.7374850898833186,0.8116710570753862,0.25591763961435376,0.8340047543703518,0.5683741804528415,0.6135370744821591,,0.7817367840877218,0.12074345101083772,0.7821083460638586,0.21173965955465746,0.291581646434844,0.3718058804106611,0.4663473367833937,0.1382678752646624,0.853199908371689,0.3495831680496144,0.20673747711525534,0.16779977251162626,0.24664255422500855,0.42356435069672,0.6057189002427155,0.7237101042986005,0.3909090442938683,0.7659374045172054,0.26899630011566045,0.1530418458957511,0.3342323017034823,0.8059959184433945,0.2541547564292459,0.5121783499284305,0.5603807506231782,0.4489850722838382,0.4036949607353918,0.5785609489453405,0.7498980334640664,0.2736120508315403,0.6107345794372745,0.3973054252669983,0.6482653913291515,0.39549211631671577,0.5476118285710705,0.01033207724250973,0.17225296462632989,0.7458354375754146,0.4662645993457086,0.3593855579704771,0.1384160671900942,0.09855268014751713,0.4587622587078515,0.7137094163871063,0.3705256329670408,0.33739963773098824,0.6157592781017496,0.3172392593544038,0.8580142147090464,0.4443920486493198,0.641187778389807,0.5423562496513289,0.5471472732568341,0.9899244210503432,0.5715447121913697,0.6328802172476402,0.15371950533721254,0.3834195746772733,0.4660567552122531,0.5578424573564165,0.3405151939705038,0.3620998193376612,0.6160565256468579,0.5694363260877582,0.5319985001734386,0.24511006781057976,0.5919072088730915,0.5916305604189346,0.4510196632307633,0.4300497793975847
sample_3,0.32220809139298057,0.6028811213935192,0.5764508842873606,0.4083883293491925,0.484557448092133,0.6203168761689091,0.4427037597551517,0.3993763630750804,0.4107936265156338,0.5434967868088629,0.6754599632606646,0.40686542100558604,0.7528424274769155,0.6995523040236351,0.7729920600051412,0.8654431085995431,0.4932457689042524,0.700153213408031,0.4162390543571395,0.5214991010207894,,0.2627369614466681,0.1917755378921343,0.6639151562938062,0.7428481516758358,0.3283486349304787,0.7034487220773978,0.6446883342935716,0.6436020329410106,0.6411984333792871,0.6044594916001924,0.4591217328287846,0.6910718257275638,0.4244629071958159,0.6965572055207534,0.5558651384974219,0.4452695376159963,0.28037934925989244,0.9267821185053196,0.5295944534605725,0.4012753467908153,0.2791742613195032,0.3108500377054129,0.4302237644074611,0.3983884312951851,0.6455906660329731,0.5039833299262972,0.7822770693392205,0.7501631799304914,0.4371722481366949,0.5592520622343153,0.6642037737787676,0.3320202461446571,0.5514289254053792,0.4768042321431942,0.6695097622142647,0.34955031482456544,0.5934313180677709,0.3737529726767286,0.5888824054558461,0.5339042382118517,0.278476142866294,0.614879675099148,0.4069171452409099,0.5491423051933166,0.31674436573140896,0.2786742489342636,0.7216472588787104,0.4199473749180511,0.5134821367424446,0.4578274055502891,0.4351102400153625,0.5814991877991713,0.5085741900167657,0.424478852721486,0.7857630371920394,0.7485544646050164,0.14443146831230105,0.6525479875996045,0.23872739683498945,0.7194501631997559,0.3619057331472941,0.5129139663610114,0.7101858037379867,0.4232097282014966,0.7049141960661087,0.6422093968191771,0.4737662663528646,0.2449219161077508,0.414948578667383,0.5489014993751136,,0.6249827644248755,0.6036487237484234,0.5764459910947235,0.5726473252763493,0.5479906865748475,0.6202979139809716,0.533407108295068,0.4517226432710512
sample_4,0.2988469456067053,0.4460390411216433,0.3883966781639959,0.670698599865427,0.4311903937989365,0.4910239497980546,0.5092848644068008,0.2076022468903388,0.5231237507774837,0.5053526658217871,0.6528065757502493,0.3452694053846439,0.2919813811382328,0.6485840179146349,0.5263217843978445,0.6756044223882274,0.5544744283068772,0.3291346537975581,0.4998384660865207,0.4735220452370408,0.5088556863142142,0.4559097723514494,0.4890914222791571,0.5862904515859366,0.7956513478170848,0.5531071665771785,0.7115097988394664,0.715656586046163,0.4234661092436751,0.5015387123526169,0.6398165197862986,0.25821072766541564,0.3867413890239767,0.2559488051560925,0.5212091481878385,0.5508355839333063,0.3962162513610468,0.5185414967218578,0.35308456697177404,0.6180996541988228,0.6165831483171126,0.30305647730234897,0.3785830574596516,0.4394160079385168,0.4473168778380972,0.5588528580221674,0.4793615984287651,0.8308849556872338,0.6968751494008277,0.4426815241904323,0.3781884106942428,0.5743423374668974,0.21995491865897326,0.6315252994234768,0.5459881056358344,0.6000324412695743,0.37816410245274895,0.5667653080461017,0.6210635702636598,0.5589724994431229,0.7626677571926184,0.3956956480983216,0.6813713692273945,0.4870706716942648,0.5712845179854913,0.4238715274758124,0.2912080512389045,0.6500758108108546,0.5564127072722489,0.6444966193870189,0.45495376430682105,0.5152311523699089,0.4732260782241236,0.3505030577801942,0.4797427083060815,0.461173028851163,0.5489605354713449,0.3612082624653135,0.44517194757357936,0.3997867775944842,0.4695726912741746,0.3184306787686849,0.3158799527840224,0.7188827284106536,0.26802420432211016,0.6670140316938091,0.4865565000867567,0.30432101753241314,0.19154390705761998,0.6805161446575665,0.5965514097226938,0.2672464742607425,0.6730690534370005,0.6036123831749347,0.4424275258668937,0.5982332967545645,0.7215982213403459,0.4433378923095356,0.3181465275160995,0.3251171079688463
sample_5,0.3146254467805454,0.4352721247362825,0.5639476624139204,0.20006526379707645,0.38834011760556497,0.6422044795192638,0.44113182865534106,0.5866607860010968,0.5812656342543323,0.6502728968094754,0.7550444289312113,0.5394808735029433,0.6728775058124283,0.6355391416345013,0.5414397680755565,0.8297575150368495,0.7861959539832786,0.6333125003504412,0.4600306724760224,0.4599019097655133,0.6860834960903001,0.459282156091865,0.6626408917080042,0.6807809251199223,0.7859598485958719,0.4352804249218321,0.8004315924474726,0.5699799118148945,0.5992907623439553,0.5193077548996163,0.24626091612807266,0.5593314786138848,0.7120222780541853,0.6458613632017896,0.4472690661158989,0.5694039789994386,0.6081374697559221,0.14722303973542986,0.9084648004786942,0.4199413814281399,0.6168965772151244,0.42796195705585904,0.19160694987399607,0.649261149505816,0.4382969138856039,0.6217279935431801,0.5669641366532661,0.6865266327092436,0.7441379296057146,0.6874557035513401,0.6497698942385455,0.5259469344199621,0.17670072216650712,0.517955714395337,0.6979482637917753,0.7307295722285945,0.44148119830495214,0.830322908249093,0.3060747874002405,0.4806471694332175,0.3151296302222981,0.5263847037469807,0.7549859577700607,,0.6858054611869886,0.5968463202551249,0.4937184165420011,0.6272116106585061,0.3330260572999817,0.6227887543423464,0.5322889344837296,0.4492746545721659,0.4919932823125712,0.4065780171748319,0.6113100467417343,0.6052689990644868,0.7615398524986874,0.3915836925985481,0.8455912400647301,0.5635787505839012,0.6553493396017558,0.4539204909941211,0.5145022362080467,0.731971758122204,0.5098143238302789,0.5331854649008712,0.6487880198443237,0.3710190797515147,0.4916279888521913,0.4504605228137824,0.5975971353967744,0.5754065054207984,0.4333977665916469,0.7644285578147818,0.4698555746336253,0.530562074330863,0.9031234104514736,0.4121712067683224,0.6751841944930763,0.5162455334295574
sample_6,0.3052048251173838,0.4125573413702113,0.41608312174798256,0.2828271212185437,0.646546860695884,0.6198305450609849,0.5897776267717013,0.25890606133104155,0.7786440175797769,0.8807647751297997,0.5323740685816336,0.15826991726064588,0.4881802147338191,0.2235044136767912,0.5059125138665703,0.61357351360199,0.6439031047626398,0.4057124016189277,0.4400880469515094,0.12834838168398988,0.728634073262562,0.4205526433055125,0.5135270701688581,0.2418554875838783,0.660131816755295,0.4330893368099782,0.6633492099832196,0.5430484930276849,0.6449805427508448,0.3708867394213354,0.4531694506011661,0.4177523872088647,0.5326701877039043,0.20826076246102646,0.34480432548494844,0.5907787328301533,0.3744674755646789,0.7126914368983406,0.4036862880071341,0.2684758302229091,0.8467019584482192,0.4849074797963728,0.2290926269531748,0.6097566680945279,,0.28304075048012045,0.255692014163996,0.5518964943574975,0.4115819136278899,0.7074293504709148,0.5513735654199721,0.5809623039350933,0.4603006452623881,0.5529554395856795,0.7902402061853637,0.7388452208586065,0.3020860576562797,0.11740191339382465,0.15167581021163554,0.6408388143462902,0.25591384362490865,0.40355868418767293,0.7856988470050815,0.30779206758587785,0.5847559256682497,0.6738124898173146,0.8189965158566589,0.7000784224931857,0.5365529222710295,0.6498637255825079,0.583879670389176,0.382235525826806,0.5483189510709017,0.6126120462092429,0.8424724019693932,0.4781235164733775,0.5442335533987492,0.4734657862473786,0.11490340482344408,0.6258357902442568,0.4775998204687957,0.4478046563699206,0.12587206465755862,0.4696463176271195,0.30423131099042444,0.3399674244248052,0.7015636250123061,0.4789089803310334,0.4604663434795122,0.41462398299701264,0.5701391396662314,0.2063051051156828,0.11143009479698927,0.7925044411157383,0.2715181573386747,0.5462237610580343,0.41846352491217453,0.5493495297017937,0.8173019140072209,0.3046198379393356
sample_7,0.4330723888287473,0.453035394296812,0.2978081614021951,0.27560059819193017,0.52898266145037,0.6005879779083809,0.3211849177376957,0.4324307228192608,0.9289792555573936,0.7779453791926986,0.5879738058577204,0.25618937961963284,0.5385118246080682,0.4945766388160722,0.6413752811047735,0.7358845056372472,0.6602229109776263,0.5074232548203197,0.4331328579697733,0.32896767706744234,0.7379888947601145,0.37969408853630937,0.472560026872573,0.573297501764388,0.7966442937381815,0.44113574901002095,0.727931036705968,0.5386014817122782,0.7052302168444331,0.4820140177480782,0.3614215616033801,0.6448370935234198,0.6052930174316632,0.3480543676907306,0.5502358944797179,0.4657057508499358,0.4299302329887125,0.21205990699960248,0.7768123173284499,0.1769209712082771,0.7418402787203054,0.4728971192164855,0.3188093633010265,0.4299923828992793,0.3031413426436713,0.5248733059417359,0.4536302399627354,0.6044162847293937,0.5926770365341801,0.8666115791183955,0.5284364733023654,0.5522637560233177,0.4464051345189009,0.5711090191635846,0.5464702030485877,0.5778461028803314,0.3589140758632671,0.5409697012443602,0.2307644908949078,0.5866305927879818,0.4107780247692863,0.5113198359875077,0.7883391275251653,0.3156796666520991,0.6292960880411418,0.6494266366396422,0.6206382687827946,0.7592179008839555,0.35014591784259186,0.7029478732930178,0.7654814382972402,0.5293262479771386,,0.3838204059851198,0.6468322479601434,0.6720627829243129,0.6749948909765537,0.4542678484020086,0.6024116947321911,0.6242464865606294,0.5437770634026207,0.3068994641960784,0.5521144545273895,0.5866473673715981,0.43495067658802206,0.573764244738423,0.692047723267267,0.5023526040551922,0.5847110583636006,0.3873277732053733,0.5723825964693348,0.4610121425988951,0.3121197218817349,0.7027715686467122,0.34704132478348115,0.3745537882353518,0.6831128604293709,0.3998343185809781,0.6755140797715746,0.3847079495004492
sample_8,0.3002607044021928,0.7029173126542559,0.5538867011468749,0.6704814717790964,0.4643633359524632,0.26224474555795685,0.2504625173436864,0.1568493720998595,0.5199025639673212,0.23906880974795874,0.3680434263877812,,0.6495511495433647,0.5264252142866106,0.6240856443316811,0.5434402217568155,0.2643097219813495,0.4659037300080433,0.4270508197776752,0.5270678806426499,0.5926159250694685,0.3168982173217463,0.3644533716629561,0.3975636574022461,0.8057256202866285,0.6610820065505252,0.5719965974383389,0.5126852215467019,0.5202945357553415,0.3589161106652196,0.8323101829636657,0.25204896514503194,0.6050572606632421,0.7188557695808488,0.4760343099115043,0.5576838895303249,0.453226116085268,0.5427375617817818,0.4943378730295704,0.3683791063782327,0.6675244060494631,0.2521466211598564,0.5055538191742084,0.3480492162637179,0.5271954867438877,0.6873192926200207,0.7680707274438197,0.5417444080156353,0.317497061602403,0.482135044219677,0.3492175957065777,0.3524063348199966,0.13585439084782025,0.5189418550616111,0.11508996748016245,0.2380295429341843,0.3255412547711544,0.3717409135858312,0.4550826304407021,0.4136419476240185,0.6286482366498299,0.2740213393996582,0.5656602088101886,0.8168477736469795,0.539623613487628,0.23944508642022624,0.42471431892462863,0.4597091674782434,0.7125762917180241,0.8793512871588535,0.4595388998254227,0.3476759922883023,0.4865998665183582,0.4110382819309608,0.37985585862044347,0.6468842586806649,0.4552609596214037,0.6967028476255972,0.4888818262663892,0.4085997833355317,0.35817898699897244,0.36589710868237935,0.060608832830160386,0.6059538974481804,0.5050648924366479,0.4344774303897279,0.5796192675292188,0.21949593760429265,0.32041712867965466,0.7253832578736461,0.4699770595875656,0.390030627209476,0.7793837389143801,0.364620095057172,0.9186510325522688,0.3991504518142519,0.4476673832045922,0.3326554997437636,0.3649061870501744,0.665575756303371
sample_9,0.3594022551918077,0.352260291780238,0.5917499407217284,0.3444009479908417,0.20456685472652206,0.6877215405287753,0.3742999466844693,0.26011922047245883,0.4006742880837151,0.5416255097780055,0.5723280783569313,0.27425443943853023,0.938383577414158,0.45034726200220776,0.5748717293367869,0.7450331282793191,0.5355323550947098,0.3141252641708201,0.4230317328830193,0.4793690237938715,0.7081434645226823,0.3342184836841262,0.5020731766000941,0.7293593085479272,0.8369170500468097,0.4701100740616506,0.7693321685845539,0.6727845078624449,0.6022567291045621,0.14966085020131298,0.3294440762083801,0.4000195484610241,0.6042459344687121,0.34396544136418994,0.5027853764393193,0.3579632862022123,0.7137998776907113,0.0,0.8087283451295947,0.3894985248337957,0.5545973859218493,0.3343131575502705,0.18018098171053154,0.708003741941577,0.2420522297731331,0.6950697261996113,0.38470171179903145,0.7690226729882512,0.39057584345028296,0.5549918901707276,0.4735371951020979,0.5352640071809227,0.3018404459619459,0.6017034763087377,0.3448189635097394,0.32742768791549515,0.32732090295267835,0.6213289237444046,0.3681481849968098,0.7317596515861131,0.2952603469058697,0.3174426154787191,0.6331802606191158,0.31807170185303324,0.6949645858038942,0.5526171005015068,0.2360712095111569,0.8895238948065378,0.3423600448244615,0.5394880947879509,0.6323521962173657,0.32035532819593354,0.4890169547752961,0.5137467416694395,,0.6118612031784052,0.6618734809616722,0.490564535024089,0.8368616360097985,0.5244850376414234,0.5143701879616218,0.3254810974113599,0.3080877950920611,0.6186529535302265,0.36372780357700507,0.5043986062091494,0.6414972991885037,0.29781522253376025,0.14806686976053926,0.44535082596687015,0.4712746880571102,0.3477327130282666,0.4131887976906144,0.6764469795355195,0.3265736523108218,0.294816704397856,0.6802099285539767,0.6022977043987484,0.4728369221566171,0.7903053425237346
