approach,missingPercentage,RMSE,RMAE,MSE,MAE
zeorI,./0.01.csv,0.5369329822178676,0.7141733168091727,0.2882970273933729,0.510043526442215
zeorI,./0.05.csv,0.5432495902607348,0.7186186198764078,0.2951201173184562,0.5164127208330731
zeorI,./0.1.csv,0.5428563216245099,0.7187278148435681,0.2946929859276934,0.5165696718298103
zeorI,./0.15.csv,0.5423783753301719,0.7178734610993341,0.2941743020257968,0.5153423061507373
zeorI,./0.2.csv,0.5414704535340806,0.7174044593853267,0.2931902520504029,0.514669158345953
ColumnMeanI,./0.01.csv,0.14077160382603174,0.3311702847839654,0.01981664444375324,0.10967375752389273
ColumnMeanI,./0.05.csv,0.14680565710425028,0.33497781611184424,0.021551900957810708,0.11221013728706053
ColumnMeanI,./0.1.csv,0.1436415759830905,0.3332309110730898,0.02063290235090596,0.11104284009460147
ColumnMeanI,./0.15.csv,0.14768133941307807,0.3364485069444402,0.021809778010840768,0.11319759782514302
ColumnMeanI,./0.2.csv,0.14560845521314056,0.3354995187117334,0.02120182222955716,0.11255992705580474
RowMeanI,./0.01.csv,0.16856583176875428,0.37031926814093896,0.02841443963989197,0.13713636035644064
RowMeanI,./0.05.csv,0.16896082207230467,0.3680206473377373,0.028547759395349,0.13543919686688718
RowMeanI,./0.1.csv,0.16642062418163714,0.3662868761794316,0.027695824153005703,0.13416607566128624
RowMeanI,./0.15.csv,0.1693350910034547,0.3689638960227391,0.02867437304514828,0.13613435656827866
RowMeanI,./0.2.csv,0.16876578481952306,0.3690301148749869,0.02848189012574955,0.13618322568464605
ColumnMedianI,./0.01.csv,0.14019094324765202,0.3292865066567909,0.01965350056866639,0.1084296034662328
ColumnMedianI,./0.05.csv,0.14725745784931252,0.3344901051846396,0.021684758892242056,0.11188363046643124
ColumnMedianI,./0.1.csv,0.1440196015694364,0.3325588805473041,0.02074164563621921,0.11059540903087606
ColumnMedianI,./0.15.csv,0.14800024470540438,0.33575406789817186,0.021904072432859568,0.1127307941101702
ColumnMedianI,./0.2.csv,0.14598405643050005,0.3348119113960279,0.02131134473190342,0.11209901601266163
RowMedianI,./0.01.csv,0.17017478322983826,0.3719567502354187,0.028959456847322432,0.13835182404569366
RowMedianI,./0.05.csv,0.1695926198697214,0.3685026026299387,0.028761656714275826,0.13579416814503853
RowMedianI,./0.1.csv,0.16722382287201332,0.3671326291424075,0.027963806935930483,0.13478636738101654
RowMedianI,./0.15.csv,0.17026284673854392,0.36983282426168096,0.028989436979512895,0.1367763179013714
RowMedianI,./0.2.csv,0.1697225126364417,0.3700188497077338,0.028805731295627118,0.1369139491390345
KNNI1_1,./0.05.csv,0.14060718580705606,0.3242170912140041,0.019770380700579977,0.10511672223526987
KNNI1_5,./0.05.csv,0.11631932240985984,0.2955374630891585,0.013530184765888915,0.0873423920891757
KNNI1_10,./0.05.csv,0.11700274834766435,0.296171611330727,0.01368964312090688,0.08771762335823921
KNNI1_20,./0.05.csv,0.1226155767797578,0.3038757795522644,0.015034579669032678,0.0923404893984964
KNNI1_5,./0.01.csv,0.10519823087075347,0.2836716605915481,0.01106666777833635,0.08046961102276644
KNNI1_5,./0.05.csv,0.11631932240985984,0.2955374630891585,0.013530184765888915,0.0873423920891757
KNNI1_5,./0.1.csv,0.11551345043357325,0.2948145204137214,0.013343357231069584,0.08691560144677257
KNNI1_5,./0.15.csv,0.11599601719827313,0.2952768462957701,0.013455076005862076,0.08718841595837583
KNNI1_5,./0.2.csv,0.11562834757005246,0.29494215312331423,0.013369914761780849,0.08699087368901655
KNNI2_5,./0.01.csv,0.10526952081665054,0.2837709436648775,0.011081672012967224,0.08052594846845508
KNNI2_5,./0.05.csv,0.11647495515411906,0.29551409565682546,0.013566415178154037,0.0873285807318714
KNNI2_5,./0.1.csv,0.11555121655661013,0.2948423914042022,0.01335208364771261,0.08693203576894876
KNNI2_5,./0.15.csv,0.11599601719827313,0.2952768462957701,0.013455076005862076,0.08718841595837583
KNNI2_5,./0.2.csv,0.11562834757005243,0.29494215312331423,0.013369914761780849,0.08699087368901655
