,gene_3,gene_4,gene_6,gene_19,gene_22,gene_27,gene_29,gene_32,gene_34,gene_35,gene_38,gene_40,gene_45,gene_46,gene_47,gene_48,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_60,gene_64,gene_65,gene_66,gene_68,gene_70,gene_73,gene_75,gene_78,gene_79,gene_80,gene_81,gene_86,gene_88,gene_89,gene_90,gene_95,gene_96,gene_98,gene_99,gene_100,gene_101,gene_102,gene_103,gene_104,gene_105,gene_109,gene_110,gene_112,gene_113,gene_114,gene_115,gene_116,gene_118,gene_119,gene_120,gene_121,gene_122,gene_123,gene_124,gene_125,gene_126,gene_127,gene_128,gene_129,gene_130,gene_131,gene_132,gene_136,gene_137,gene_138,gene_139,gene_140,gene_141,gene_142,gene_143,gene_144,gene_145,gene_146,gene_147,gene_149,gene_150,gene_151,gene_152,gene_154,gene_155,gene_156,gene_157,gene_159,gene_160,gene_161,gene_162,gene_165,gene_170,gene_171,gene_175
sample_0,0.09163667153103949,0.6836501145337261,0.4780044852737677,0.02601508278675657,0.626697985952599,0.8690509982769992,0.6705357865124013,0.5496541251688114,0.5428618769413065,0.7676815796650825,0.7197873960055534,0.4978406961229891,0.553103609822531,0.7653982114817419,0.47806346008729217,0.8948351317024144,0.7660683450390364,0.7114709866813222,0.1873128262817374,0.31150916976340803,0.64842528385332,0.5122369974221577,0.5019882420392092,0.711826290093211,0.736063360915026,0.3135189532613891,0.6929207879813065,0.617508959806712,0.6703183119078808,0.5717217225796254,0.4618971194276864,0.49676293957786444,0.7491633727001151,0.35345803039548507,0.7870308496741452,0.45087020084805884,0.3801084440954796,0.40510171857398986,0.8085526948972735,0.38916300110993807,0.4705598697671307,0.35441262962361786,0.21824149235045365,0.6850036472259708,0.06348970567583967,0.6682793279048389,0.38644128736327943,0.914064319478278,0.6275329149961432,0.7734036970626477,0.7360878988033162,0.7642950913326279,0.5538247561810028,0.3871922326092154,0.6682153684375955,0.802822027557804,0.2812117504866608,0.4946364755215149,0.30611505342370426,0.4748429627348727,0.3838798942154744,0.43114479230302893,0.8026495743396064,0.23539616342990932,0.46076585164519934,0.39948905441147237,0.7198121034918464,0.41205252581134477,0.19046795740334166,0.42662590051509086,0.536968801946178,0.4694611630165408,0.6130814357831522,0.5091634432909755,0.7866290167037768,0.5684257329830834,0.9266256127127812,0.33949509011526824,0.5900470815667052,0.603951820669244,0.746364710561809,0.3424384304378292,0.6639677784990063,0.8005327897434931,0.45295649187843323,0.6203199738820973,0.8387378408883734,0.770034766974653,0.4709198049740324,0.2934423803156718,0.6608631800168832,0.478016252523346,0.40216379974989147,0.766869774964168,0.34551144037503634,0.5706314093455043,0.7609152223216565,0.6934767432680323,0.7262728978446746,0.4494531247861401
sample_1,0.5032714535938887,0.4065634770480768,0.4250941352461768,0.7996675467653639,0.6573716738691933,0.43498899794444923,0.24979814335976797,0.24650421290472602,0.48926000250666446,0.3319818884443113,0.6380240868578646,0.3250662561004465,0.525729088153151,0.5334232452661791,0.31451700732119736,0.7369252537098889,0.5146879608373494,0.7002444352032517,0.6014516333263515,0.44186290155600694,0.6297399106375468,0.6149539079414506,0.4222491454633382,0.33906611653179786,0.6676035381941963,0.5624925525500692,0.5322295552372963,0.5725288377304882,0.387028172778731,0.6850230453076298,0.46981536894108045,0.4178902694437756,0.6126809816172137,0.5290004071176395,0.6957255972142404,0.7522584329020968,0.5687411743908031,0.7896051630434884,0.5154778784929681,0.4022065451463581,0.5350499273849463,0.3338735553429253,0.09364531450068436,0.5844785026721049,0.5930478217528989,0.735847494030117,0.9403441032098252,0.7661898227189952,0.5360587611697746,0.7326073959846591,0.47528410550862343,0.6818105400650951,0.17931020288363797,0.26077468377000446,0.37015949085786404,0.5239567154856619,0.5170928261208668,0.4520873369690901,0.4644521209095478,0.6829118998920742,0.45898746920447575,0.3705866801180857,0.622307617080098,0.48765659143050755,0.37132448703869003,0.46980084667213123,0.7175311152483389,0.5206524773904357,0.6404175360019255,0.6754369533143963,0.1705639958793494,0.5275154907068347,0.8853683888421975,0.5737913510758736,0.4747949022700475,0.5626529205982672,0.48557561793416615,0.3089513766961367,0.5239537818334183,0.2785840591659655,0.6466172998852775,0.2222409330237728,0.4730975596924156,0.7557385748465808,0.4276224892402005,0.19971053990135046,0.5852465600771986,0.48477751473053265,0.7182612768121285,0.5986630406646551,0.5309616697515369,0.3893732940097159,0.6205166236549955,0.6600509063609441,0.48290140462655784,0.3556046384707128,0.5554387033306694,0.5388075893957264,0.7343243134795803,0.4097673144496147
sample_2,0.3657057676588005,0.49140978840067184,0.44808960626919925,0.3947137486403881,0.5344506675281862,0.6859046934082813,0.08398603444189096,0.5706521550690999,0.16937547979949907,0.3713449046541043,0.6688112238890538,0.374662927350464,0.6183375447108378,0.5622224147294961,0.3950041613191908,0.8266558478674328,0.505371768950658,0.5706428328559925,0.41190963916991596,0.5759884560607527,0.884637897033949,0.4548106085547763,0.4159536446964131,0.7374850898833186,0.8116710570753862,0.25591763961435376,0.8340047543703518,0.5683741804528415,0.6135370744821591,0.1448901681770079,0.7817367840877218,0.12074345101083772,0.7821083460638586,0.21173965955465746,0.29158164643484397,0.3718058804106611,0.4663473367833937,0.1382678752646624,0.853199908371689,0.3495831680496144,0.20673747711525534,0.16779977251162626,0.24664255422500858,0.42356435069671994,0.6057189002427155,0.7237101042986005,0.3909090442938683,0.7659374045172054,0.26899630011566045,0.1530418458957511,0.3342323017034823,0.8059959184433945,0.2541547564292459,0.5121783499284305,0.5603807506231782,0.4489850722838382,0.4036949607353918,0.5785609489453405,0.7498980334640664,0.2736120508315403,0.6107345794372745,0.3973054252669983,0.6482653913291515,0.39549211631671577,0.5476118285710705,0.01033207724250973,0.17225296462632989,0.7458354375754146,0.46626459934570863,0.3593855579704771,0.1384160671900942,0.09855268014751711,0.4587622587078515,0.7137094163871063,0.3705256329670408,0.33739963773098824,0.6157592781017496,0.3172392593544038,0.8580142147090464,0.4443920486493198,0.641187778389807,0.5423562496513289,0.5471472732568341,0.9899244210503431,0.5715447121913697,0.6328802172476402,0.15371950533721257,0.3834195746772733,0.4660567552122531,0.5578424573564165,0.3405151939705038,0.3620998193376612,0.616056525646858,0.5694363260877582,0.5319985001734386,0.24511006781057976,0.5919072088730915,0.5916305604189346,0.45101966323076326,0.4300497793975847
sample_3,0.32220809139298057,0.6028811213935192,0.5764508842873606,0.40838832934919245,0.48455744809213297,0.6203168761689091,0.44270375975515164,0.3993763630750804,0.4107936265156338,0.543496786808863,0.6754599632606646,0.406865421005586,0.7528424274769155,0.6995523040236351,0.7729920600051412,0.8654431085995431,0.4932457689042524,0.700153213408031,0.4162390543571395,0.5214991010207894,0.617518717083182,0.26273696144666814,0.1917755378921343,0.6639151562938062,0.7428481516758358,0.3283486349304787,0.7034487220773978,0.6446883342935716,0.6436020329410106,0.6411984333792871,0.6044594916001924,0.45912173282878455,0.6910718257275638,0.4244629071958159,0.6965572055207534,0.555865138497422,0.4452695376159963,0.28037934925989244,0.9267821185053196,0.5295944534605725,0.40127534679081533,0.2791742613195032,0.31085003770541286,0.43022376440746113,0.3983884312951851,0.6455906660329731,0.5039833299262972,0.7822770693392205,0.7501631799304914,0.43717224813669486,0.5592520622343153,0.6642037737787676,0.3320202461446571,0.5514289254053792,0.47680423214319423,0.6695097622142647,0.34955031482456544,0.593431318067771,0.3737529726767286,0.5888824054558461,0.5339042382118517,0.27847614286629396,0.614879675099148,0.40691714524090994,0.5491423051933166,0.31674436573140896,0.2786742489342636,0.7216472588787104,0.4199473749180511,0.5134821367424446,0.4578274055502891,0.43511024001536264,0.5814991877991713,0.5085741900167657,0.424478852721486,0.7857630371920394,0.7485544646050164,0.14443146831230103,0.6525479875996045,0.23872739683498945,0.7194501631997559,0.36190573314729413,0.5129139663610114,0.7101858037379867,0.4232097282014966,0.7049141960661087,0.6422093968191771,0.47376626635286456,0.2449219161077508,0.414948578667383,0.5489014993751136,0.2775754348787902,0.6249827644248755,0.6036487237484234,0.5764459910947235,0.5726473252763493,0.5479906865748475,0.6202979139809716,0.533407108295068,0.45172264327105116
sample_4,0.2988469456067053,0.4460390411216433,0.3883966781639959,0.670698599865427,0.43119039379893653,0.49102394979805464,0.5092848644068008,0.2076022468903388,0.5231237507774837,0.505352665821787,0.6528065757502493,0.3452694053846439,0.2919813811382328,0.6485840179146349,0.5263217843978445,0.6756044223882274,0.5544744283068772,0.32913465379755813,0.4998384660865207,0.4735220452370408,0.5088556863142142,0.45590977235144936,0.4890914222791571,0.5862904515859366,0.7956513478170848,0.5531071665771785,0.7115097988394664,0.715656586046163,0.4234661092436751,0.5015387123526169,0.6398165197862986,0.25821072766541564,0.3867413890239767,0.25594880515609253,0.5212091481878385,0.5508355839333063,0.39621625136104677,0.5185414967218578,0.35308456697177404,0.6180996541988228,0.6165831483171126,0.30305647730234897,0.3785830574596516,0.43941600793851676,0.44731687783809715,0.5588528580221674,0.47936159842876513,0.8308849556872338,0.6968751494008277,0.4426815241904323,0.3781884106942428,0.5743423374668974,0.21995491865897332,0.6315252994234768,0.5459881056358344,0.6000324412695743,0.378164102452749,0.5667653080461017,0.6210635702636598,0.5589724994431229,0.7626677571926184,0.3956956480983216,0.6813713692273945,0.48707067169426477,0.5712845179854913,0.4238715274758124,0.2912080512389045,0.6500758108108546,0.5564127072722489,0.6444966193870189,0.454953764306821,0.5152311523699089,0.47322607822412355,0.3505030577801942,0.47974270830608146,0.46117302885116296,0.5489605354713449,0.36120826246531346,0.44517194757357936,0.3997867775944842,0.46957269127417467,0.3184306787686849,0.31587995278402237,0.7188827284106536,0.26802420432211016,0.6670140316938091,0.48655650008675666,0.30432101753241314,0.19154390705762,0.6805161446575665,0.5965514097226938,0.26724647426074255,0.6730690534370005,0.6036123831749347,0.4424275258668937,0.5982332967545645,0.721598221340346,0.4433378923095356,0.3181465275160995,0.3251171079688463
sample_5,0.3146254467805454,0.4352721247362825,0.5639476624139204,0.20006526379707645,0.38834011760556497,0.6422044795192638,0.44113182865534106,0.5866607860010968,0.5812656342543323,0.6502728968094754,0.7550444289312113,0.5394808735029433,0.6728775058124283,0.6355391416345013,0.5414397680755565,0.8297575150368495,0.7861959539832786,0.6333125003504412,0.46003067247602236,0.45990190976551326,0.6860834960903,0.45928215609186496,0.6626408917080042,0.6807809251199223,0.7859598485958719,0.43528042492183205,0.8004315924474726,0.5699799118148945,0.5992907623439553,0.5193077548996163,0.24626091612807266,0.5593314786138848,0.7120222780541853,0.6458613632017896,0.4472690661158989,0.5694039789994386,0.6081374697559221,0.14722303973542983,0.9084648004786942,0.41994138142813986,0.6168965772151244,0.42796195705585904,0.19160694987399607,0.649261149505816,0.4382969138856039,0.6217279935431801,0.5669641366532661,0.6865266327092436,0.7441379296057146,0.6874557035513401,0.6497698942385455,0.5259469344199621,0.17670072216650712,0.517955714395337,0.6979482637917753,0.7307295722285945,0.44148119830495214,0.830322908249093,0.3060747874002405,0.4806471694332175,0.3151296302222981,0.5263847037469807,0.7549859577700607,0.3469341928560574,0.6858054611869886,0.5968463202551249,0.4937184165420011,0.627211610658506,0.3330260572999817,0.6227887543423464,0.5322889344837296,0.4492746545721659,0.4919932823125712,0.4065780171748319,0.6113100467417343,0.6052689990644868,0.7615398524986874,0.3915836925985481,0.8455912400647301,0.5635787505839012,0.6553493396017558,0.45392049099412113,0.5145022362080467,0.731971758122204,0.509814323830279,0.5331854649008712,0.6487880198443237,0.3710190797515147,0.4916279888521913,0.45046052281378235,0.5975971353967744,0.5754065054207984,0.43339776659164686,0.7644285578147818,0.46985557463362526,0.530562074330863,0.9031234104514737,0.4121712067683224,0.6751841944930763,0.5162455334295574
sample_6,0.3052048251173838,0.4125573413702113,0.41608312174798256,0.2828271212185437,0.646546860695884,0.6198305450609849,0.5897776267717013,0.25890606133104155,0.7786440175797769,0.8807647751297997,0.5323740685816336,0.15826991726064588,0.4881802147338191,0.2235044136767912,0.5059125138665703,0.61357351360199,0.6439031047626398,0.40571240161892774,0.4400880469515094,0.12834838168398988,0.728634073262562,0.42055264330551245,0.5135270701688581,0.24185548758387831,0.660131816755295,0.4330893368099782,0.6633492099832196,0.5430484930276849,0.6449805427508448,0.3708867394213354,0.4531694506011661,0.41775238720886465,0.5326701877039043,0.20826076246102643,0.34480432548494844,0.5907787328301533,0.37446747556467885,0.7126914368983406,0.40368628800713413,0.2684758302229091,0.8467019584482192,0.48490747979637283,0.22909262695317478,0.6097566680945279,0.23879069932466113,0.28304075048012045,0.255692014163996,0.5518964943574975,0.4115819136278899,0.7074293504709148,0.5513735654199721,0.5809623039350933,0.4603006452623881,0.5529554395856795,0.7902402061853637,0.7388452208586065,0.3020860576562797,0.11740191339382466,0.15167581021163556,0.6408388143462902,0.25591384362490865,0.40355868418767304,0.7856988470050815,0.30779206758587785,0.5847559256682497,0.6738124898173146,0.8189965158566589,0.7000784224931857,0.5365529222710295,0.649863725582508,0.583879670389176,0.38223552582680603,0.5483189510709017,0.612612046209243,0.8424724019693932,0.4781235164733775,0.5442335533987492,0.47346578624737856,0.11490340482344408,0.6258357902442568,0.4775998204687957,0.4478046563699206,0.12587206465755862,0.4696463176271195,0.30423131099042444,0.3399674244248052,0.7015636250123061,0.47890898033103335,0.4604663434795122,0.41462398299701264,0.5701391396662314,0.20630510511568279,0.11143009479698929,0.7925044411157383,0.2715181573386747,0.5462237610580343,0.41846352491217464,0.5493495297017937,0.8173019140072209,0.30461983793933556
sample_7,0.4330723888287473,0.45303539429681194,0.2978081614021951,0.27560059819193017,0.52898266145037,0.6005879779083809,0.32118491773769575,0.43243072281926076,0.9289792555573937,0.7779453791926986,0.5879738058577204,0.25618937961963284,0.5385118246080682,0.49457663881607217,0.6413752811047735,0.7358845056372472,0.6602229109776263,0.5074232548203197,0.4331328579697733,0.32896767706744234,0.7379888947601145,0.37969408853630937,0.472560026872573,0.573297501764388,0.7966442937381815,0.44113574901002095,0.727931036705968,0.5386014817122782,0.7052302168444331,0.4820140177480782,0.36142156160338024,0.6448370935234198,0.6052930174316632,0.3480543676907306,0.5502358944797179,0.4657057508499358,0.42993023298871247,0.21205990699960248,0.77681231732845,0.1769209712082771,0.7418402787203054,0.4728971192164855,0.3188093633010265,0.4299923828992793,0.3031413426436713,0.5248733059417359,0.45363023996273544,0.6044162847293937,0.5926770365341801,0.8666115791183955,0.5284364733023654,0.5522637560233177,0.44640513451890085,0.5711090191635846,0.5464702030485877,0.5778461028803314,0.35891407586326707,0.5409697012443602,0.2307644908949078,0.5866305927879818,0.41077802476928627,0.5113198359875077,0.7883391275251653,0.3156796666520991,0.6292960880411418,0.6494266366396422,0.6206382687827946,0.7592179008839555,0.35014591784259186,0.7029478732930178,0.7654814382972402,0.5293262479771386,0.6499033645052483,0.3838204059851198,0.6468322479601434,0.6720627829243129,0.6749948909765537,0.4542678484020086,0.6024116947321911,0.6242464865606294,0.5437770634026207,0.3068994641960784,0.5521144545273895,0.586647367371598,0.434950676588022,0.573764244738423,0.692047723267267,0.5023526040551922,0.5847110583636006,0.38732777320537326,0.5723825964693348,0.4610121425988951,0.31211972188173487,0.7027715686467122,0.34704132478348115,0.3745537882353518,0.6831128604293709,0.39983431858097807,0.6755140797715746,0.3847079495004492
sample_8,0.30026070440219277,0.702917312654256,0.5538867011468749,0.6704814717790964,0.46436333595246315,0.26224474555795685,0.2504625173436864,0.1568493720998595,0.5199025639673212,0.23906880974795874,0.3680434263877812,0.2594844787500685,0.6495511495433647,0.5264252142866106,0.6240856443316811,0.5434402217568155,0.2643097219813495,0.4659037300080433,0.42705081977767523,0.5270678806426499,0.5926159250694685,0.3168982173217463,0.36445337166295605,0.3975636574022461,0.8057256202866285,0.6610820065505252,0.5719965974383389,0.5126852215467019,0.5202945357553415,0.3589161106652196,0.8323101829636657,0.25204896514503194,0.605057260663242,0.7188557695808488,0.4760343099115043,0.557683889530325,0.45322611608526797,0.5427375617817818,0.49433787302957044,0.3683791063782327,0.667524406049463,0.2521466211598564,0.5055538191742084,0.3480492162637179,0.5271954867438877,0.6873192926200207,0.7680707274438197,0.5417444080156353,0.317497061602403,0.482135044219677,0.34921759570657773,0.3524063348199966,0.13585439084782025,0.518941855061611,0.11508996748016243,0.23802954293418432,0.32554125477115436,0.37174091358583117,0.4550826304407021,0.4136419476240185,0.62864823664983,0.2740213393996582,0.5656602088101886,0.8168477736469795,0.539623613487628,0.23944508642022622,0.42471431892462863,0.4597091674782434,0.7125762917180241,0.8793512871588535,0.45953889982542273,0.3476759922883023,0.4865998665183582,0.4110382819309608,0.37985585862044347,0.6468842586806649,0.45526095962140367,0.6967028476255972,0.4888818262663892,0.4085997833355317,0.35817898699897244,0.36589710868237935,0.060608832830160386,0.6059538974481804,0.5050648924366479,0.43447743038972786,0.5796192675292188,0.21949593760429265,0.32041712867965466,0.7253832578736461,0.46997705958756564,0.390030627209476,0.7793837389143801,0.364620095057172,0.9186510325522688,0.3991504518142519,0.4476673832045922,0.3326554997437636,0.3649061870501744,0.665575756303371
sample_9,0.3594022551918077,0.352260291780238,0.5917499407217284,0.34440094799084175,0.20456685472652203,0.6877215405287753,0.3742999466844693,0.26011922047245883,0.4006742880837151,0.5416255097780055,0.5723280783569313,0.27425443943853023,0.9383835774141581,0.45034726200220776,0.5748717293367869,0.745033128279319,0.5355323550947098,0.3141252641708201,0.4230317328830193,0.4793690237938715,0.7081434645226823,0.3342184836841262,0.5020731766000941,0.7293593085479272,0.8369170500468097,0.4701100740616506,0.7693321685845539,0.672784507862445,0.6022567291045621,0.14966085020131298,0.3294440762083801,0.40001954846102405,0.604245934468712,0.34396544136418994,0.5027853764393193,0.3579632862022123,0.7137998776907113,0.0,0.8087283451295947,0.38949852483379566,0.5545973859218493,0.33431315755027047,0.18018098171053154,0.708003741941577,0.24205222977313312,0.6950697261996113,0.38470171179903145,0.7690226729882512,0.39057584345028296,0.5549918901707276,0.4735371951020979,0.5352640071809227,0.3018404459619459,0.6017034763087377,0.3448189635097394,0.32742768791549515,0.32732090295267835,0.6213289237444046,0.3681481849968098,0.7317596515861131,0.29526034690586966,0.3174426154787191,0.6331802606191158,0.31807170185303324,0.6949645858038942,0.5526171005015068,0.2360712095111569,0.8895238948065378,0.3423600448244615,0.5394880947879509,0.6323521962173657,0.32035532819593354,0.48901695477529605,0.5137467416694395,0.7196591853182359,0.6118612031784052,0.6618734809616722,0.49056453502408903,0.8368616360097985,0.5244850376414234,0.5143701879616218,0.3254810974113599,0.3080877950920611,0.6186529535302265,0.36372780357700507,0.5043986062091494,0.6414972991885037,0.29781522253376025,0.14806686976053926,0.44535082596687015,0.47127468805711015,0.3477327130282666,0.41318879769061434,0.6764469795355195,0.3265736523108218,0.294816704397856,0.6802099285539767,0.6022977043987484,0.4728369221566171,0.7903053425237346
